Designator,Mid X,Mid Y,Rotation,Layer
+6V,31.5,-39.75,0.0,top
C1,62.0,-26.7,0.0,top
C10,44.5,-95.0,90.0,top
C11,31.5,-32.5,0.0,top
C12,45.75,-54.75,270.0,top
C13,39.25,-27.25,180.0,top
C14,26.5,-67.25,0.0,top
C15,20.144888,-80.55,0.0,top
C16,39.5,-73.25,180.0,top
C17,53.25,-68.5,0.0,top
C18,59.75,-103.455113,90.0,top
C2,65.5,-35.75,90.0,top
C21,24.25,-18.25,0.0,top
C22,24.25,-31.25,0.0,top
C23,47.75,-27.5,0.0,top
C24,47.2,-74.0,0.0,top
C3,4.25,-22.0,0.0,top
C4,4.25,-25.5,0.0,top
C5,4.25,-29.0,0.0,top
C6,31.5,-28.75,180.0,top
C7,31.5,-25.25,180.0,top
C8,31.5,-21.75,180.0,top
C9,25.294888,-9.75,0.0,top
D1,39.35,-32.5,180.0,top
D2,51.0,-81.98,90.0,top
D3,44.25,-87.5,270.0,top
GND,10.25,-34.0,0.0,top
J1,5.25,-83.5,0.0,bottom
J10,65.6,-14.46,180.0,bottom
J11,5.25,-19.58,0.0,bottom
J2,51.0,-91.995,0.0,top
J3,61.5,-91.995,0.0,top
J4,10.25,-17.015,0.0,bottom
J5,60.75,-16.96,180.0,bottom
J6,10.25,-81.015,0.0,bottom
J7,60.75,-80.985,180.0,bottom
J8,47.75,-84.95,0.0,bottom
J9,65.6,-78.52,180.0,bottom
NOISE,45.5,-48.5,0.0,top
Q2,25.48,-54.1,180.0,top
R1,58.25,-35.0,270.0,top
R10,24.75,-34.0,0.0,top
R11,24.75,-36.75,180.0,top
R12,25.7875,-104.5,180.0,top
R13,24.7125,-39.5,180.0,top
R14,38.25,-39.75,180.0,top
R15,68.0,-90.2875,270.0,top
R16,25.7875,-50.25,180.0,top
R17,38.2125,-36.75,0.0,top
R18,55.5,-35.0375,270.0,top
R19,39.0,-22.25,180.0,top
R2,61.0,-35.0,90.0,top
R20,52.75,-35.0,270.0,top
R21,24.75,-63.25,180.0,top
R22,52.75,-30.0,90.0,top
R23,24.75,-60.5,180.0,top
R24,61.5,-40.7875,270.0,top
R25,55.25,-72.75,270.0,top
R26,56.75,-62.75,180.0,top
R27,33.25,-66.25,0.0,top
R28,38.5,-67.0,180.0,top
R29,43.7875,-59.85,180.0,top
R3,10.9175,-21.94,180.0,top
R30,38.5,-64.25,180.0,top
R31,16.0,-80.75,90.0,top
R32,45.5,-14.25,180.0,top
R33,38.5,-61.5,0.0,top
R34,45.5,-7.75,180.0,top
R35,23.75,-76.5,90.0,top
R36,24.75,-70.5,0.0,top
R37,45.5,-11.0,0.0,top
R38,45.5,-17.5,0.0,top
R39,13.5,-80.7875,270.0,top
R4,10.9175,-25.37,0.0,top
R40,29.75,-70.5,180.0,top
R41,38.5375,-69.75,180.0,top
R42,51.75,-65.5,0.0,top
R43,51.75,-62.75,0.0,top
R44,50.25,-72.75,270.0,top
R45,25.7875,-99.0,0.0,top
R46,25.7875,-96.25,0.0,top
R47,25.7875,-102.0,0.0,top
R48,25.7875,-93.5,0.0,top
R49,25.75,-90.7,180.0,top
R5,10.9175,-28.94,180.0,top
R50,68.0,-96.5,270.0,top
R6,24.9175,-28.69,180.0,top
R7,24.9175,-25.19,180.0,top
R8,24.9175,-21.94,0.0,top
R9,24.75,-15.0,0.0,top
RM,26.25,-44.75,0.0,top
RV1,15.5,-13.45,90.0,top
RV2,42.25,-102.75,180.0,top
RV3,55.5,-53.45,90.0,top
RV4,35.5,-13.45,90.0,top
RV5,35.5,-53.45,90.0,top
RV6,55.5,-13.45,90.0,top
RV7,15.5,-53.45,90.0,top
RV8,15.5,-93.45,90.0,top
RV9,35.5,-93.45,90.0,top
SW1,51.0,-103.25,0.0,top
SW2,15.5,-70.4,0.0,top
U1,47.5,-33.75,270.0,top
U2,17.9175,-25.44,0.0,top
U3,17.75,-36.0,0.0,top
U4,31.75,-62.25,270.0,top
U5,45.25,-66.25,270.0,top
U6,29.75,-78.0,270.0,top
