Designator,Footprint,Quantity,Value,LCSC Part #
"+6V, GND, NOISE",TestPoint_THTPad_D1.5mm_Drill0.7mm,3,TestPoint,
C1,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,10nF,
"C10, C14, C15, C6, C9",CP_Radial_D4.0mm_P1.50mm,5,1uF,
C11,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,330nF,
"C12, C7",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,1nF,
C13,CP_Radial_D4.0mm_P1.50mm,1,2u2,
"C16, C17, C18",0805,3,100nF,
C19,CP_Radial_D6.3mm_P2.50mm,1,220uF,
"C2, C5",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,22nF,
C3,CP_Radial_D8.0mm_P3.50mm,1,220uF,
C4,CP_Radial_D4.0mm_P1.50mm,1,4u7,
C8,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,100nF,
CLK,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,Clk,
"D1, D2, D4",D_MiniMELF,3,1N4148,
D3,LED_D3.0mm,1,LED,
J1,PinHeader_1x03_P2.54mm_Horizontal,1,Power_in,
"J10, J11, J4, J9",Bus Connector,4,SMD Pads,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Remote Trig,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Trigger,
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Power Out,
J6,PinHeader_1x03_P2.54mm_Horizontal,1,Audio In,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Mono Out,
J8,PinHeader_1x03_P2.54mm_Horizontal,1,Audio Out,
Q2,TO-92_Inline,1,2SC828,
R1,1206,1,150k,
R10,1206,1,220k,
"R11, R20, R21, R22, R23, R30, R31, R32, R35, R36, R45, R46",1206,12,1k,
"R12, R13, R14, R16, R18, R24",1206,6,10k,
"R15, R47, R48, R50, R51",1206,5,68k,
"R17, R25, R3, R34, R4, R40, R5, R6, R7, R8",1206,10,47k,
"R19, R29",1206,2,22k,
R2,1206,1,680R,
"R26, R27, R38, R41, R44",1206,5,4k7,
"R28, R42, R49",1206,3,100k,
R33,1206,1,680k,
R37,1206,1,33k,
"R39, R43",1206,2,15k,
R9,1206,1,2M2,
RV1,Potentiometer_Piher_PT-6-V_Vertical,1,Threshold 100k,
RV2,Potentiometer_Alps_RK09K_Single_Vertical,1,Spacing 100k,
RV3,Potentiometer_Alps_RK09K_Single_Vertical,1,Reso 220k,
RV4,Potentiometer_Alps_RK09K_Single_Vertical,1,Ambience 10k,
RV5,Potentiometer_Alps_RK09K_Single_Vertical,1,Freq 10k,
RV6,Potentiometer_Alps_RK09K_Single_Vertical,1,Vol 47k,
RV7,Potentiometer_Alps_RK09K_Single_Vertical,1,Pan 100k,
SW1,SW_PUSH_6mm,1,Manual,
SW2,1P3WSW,1,Divide,
U1,SO-14_3.9x8.65mm_P1.27mm,1,LM324,
U2,SO-14_3.9x8.65mm_P1.27mm,1,HEF4093B,
"U3, U5",SO-16_3.9x9.9mm_P1.27mm,2,LM13700,
U4,SO-14_3.9x8.65mm_P1.27mm,1,4024,
