Designator,Mid X,Mid Y,Rotation,Layer
C1,163.0,-78.0,90.0,top
C10,186.5,-116.75,180.0,top
C11,214.2,-53.8,270.0,top
C12,195.25,-113.5,90.0,top
C13,218.255112,-115.0,180.0,top
C14,173.0,-116.5,0.0,top
C15,216.794888,-144.75,0.0,top
C16,200.0,-66.0,0.0,top
C17,208.0,-48.25,0.0,top
C18,182.4,-116.4,0.0,top
C19,192.317621,-80.25,0.0,top
C2,163.0,-70.5,90.0,top
C3,215.997349,-68.6,0.0,top
C4,187.344888,-70.8,0.0,top
C5,181.0,-56.25,270.0,top
C6,182.85,-88.8,180.0,top
C7,191.75,-113.5,90.0,top
C8,206.2,-45.6,0.0,top
C9,217.144888,-109.2,0.0,top
D1,201.25,-129.0,270.0,top
D2,213.8,-47.35,90.0,top
D3,208.13,-123.06,90.0,top
D4,222.2,-115.0,270.0,top
J1,217.755,-58.315,180.0,bottom
J10,162.5,-60.9,0.0,bottom
J11,222.543,-55.76,180.0,bottom
J2,204.28,-123.275,0.0,bottom
J3,208.13,-133.275,0.0,top
J4,162.55,-124.88,0.0,bottom
J5,167.305,-58.345,0.0,bottom
J6,217.73,-122.29,180.0,bottom
J7,218.53,-133.275,0.0,top
J8,167.33,-122.33,0.0,bottom
J9,222.493,-119.76,180.0,bottom
Q2,168.48,-82.25,0.0,top
R1,160.25,-79.25,270.0,top
R10,171.25,-69.25,90.0,top
R11,184.6,-66.25,270.0,top
R12,176.75,-78.25,0.0,top
R13,168.75,-69.25,90.0,top
R14,188.0,-76.25,270.0,top
R15,181.0,-50.0,90.0,top
R16,182.0,-76.25,270.0,top
R17,172.8,-104.2,0.0,top
R18,185.0,-76.25,270.0,top
R19,183.8,-97.4,270.0,top
R2,198.0,-142.3375,270.0,top
R20,195.2625,-108.0,180.0,top
R21,187.4,-108.0,0.0,top
R22,195.2,-105.4,180.0,top
R23,187.4,-105.4,0.0,top
R24,201.0,-97.2625,270.0,top
R25,187.4,-110.6,0.0,top
R26,210.4,-110.0,0.0,top
R27,187.4,-113.2,0.0,top
R28,211.2,-47.0,270.0,top
R29,210.4,-112.4,0.0,top
R3,201.25,-134.75,270.0,top
R30,210.4,-107.6,0.0,top
R31,210.4,-105.2,0.0,top
R32,215.0,-103.7375,90.0,top
R33,211.2,-52.0,90.0,top
R34,220.2,-51.0,0.0,top
R35,172.8,-106.8,180.0,top
R36,211.75,-123.2,270.0,top
R37,172.8,-101.6,180.0,top
R38,210.4,-115.2,0.0,top
R39,205.8,-101.4,180.0,top
R4,166.25,-76.25,270.0,top
R40,172.8,-109.4,180.0,top
R41,172.8,-112.2,0.0,top
R42,180.4,-97.4,270.0,top
R43,166.2,-106.7375,270.0,top
R44,178.0,-116.4,0.0,top
R45,178.0,-119.0,180.0,top
R46,182.4,-142.4,0.0,top
R47,182.4,-137.0,0.0,top
R48,182.4,-139.6,0.0,top
R49,225.75,-138.5375,270.0,top
R5,168.75,-76.25,270.0,top
R50,182.4,-131.4,180.0,top
R51,182.4,-134.2,180.0,top
R6,166.0,-69.2125,90.0,top
R7,182.0,-66.25,270.0,top
R8,182.0,-71.25,270.0,top
R9,171.25,-76.25,270.0,top
RV1,176.4,-63.6,90.0,top
RV2,172.53,-54.73,90.0,top
RV3,192.53,-94.73,90.0,top
RV4,212.53,-94.73,90.0,top
RV5,172.53,-94.73,90.0,top
RV6,172.53,-134.73,90.0,top
RV7,192.53,-134.73,90.0,top
SW1,208.23,-144.53,0.0,top
SW2,192.55,-51.8,0.0,top
U1,176.5,-72.0,0.0,top
U2,197.95,-72.0,0.0,top
U3,202.6,-109.6,0.0,top
U4,203.95,-54.15,0.0,top
U5,180.0,-109.6,0.0,top
