Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C16",CP_Radial_D10.0mm_P5.00mm,2,220uF,
"C10, C11, C2, C5",C_Disc_D4.3mm_W1.9mm_P5.00mm,4,330pF,
C12,CP_Radial_D10.0mm_P5.00mm,1,330uF,
C13,CP_Radial_D8.0mm_P3.50mm,1,100uF,
"C14, C15",CP_Radial_D5.0mm_P2.00mm,2,22uF,
"C17, C7",0805,2,100nF,
"C3, C4, C8, C9",CP_Radial_D4.0mm_P1.50mm,4,4.7uF,
D1,D_MELF,1,1N4148,
"D10, D11, D12, D13, D14, D15, D4, D5, D6, D7, D8, D9",D_SOD-323,12,5v1,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4004,
D3,LED_D3.0mm_FlatTop,1,LED,
"H10, H11, H9",MountingHole_3.2mm_M3_DIN965_Pad,3,MountingHole,
J1,Midi_Socket,1,Midi in,
J10,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,TRIG 5-8,
J11,6.35mm_Socket_Mono,1,R Out,
J12,PinHeader_1x03_P2.54mm_Vertical,1,Midi,
J13,PinHeader_1x03_P2.54mm_Vertical,1,Midi Module,
J14,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,Aux Trig,
J15,PinHeader_1x02_P2.54mm_Vertical,1,Range_Select,
"J16, J17, J18, J19",Bus Connector,4,SMD Pads,
J2,Midi_Socket,1,Midi Thru,
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,DC 12v In,
"J4, J8",PinHeader_1x03_P2.54mm_Horizontal,2,Power Bus,
"J5, J7",PinHeader_1x03_P2.54mm_Horizontal,2,Audio Bus,
J6,6.35mm_Socket_Mono,1,L Out,
J9,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,TRIG 1-4,
"R1, R12, R14, R3",1206,4,220R,
"R10, R11, R24, R31, R32, R33, R34, R4, R5, R6, R7, R8, R9",1206,13,1k,
"R13, R15, R16, R17, R25, R26, R27, R28, R35",1206,9,47k,
"R18, R19, R29, R30",1206,4,10k,
R2,1206,1,4k7,
"R20, R21",1206,2,220K,
"R22, R23",1206,2,100k,
SW1,SW_DIP_SPSTx04_Piano_CTS_Series194-4MSTN_W7.62mm_P2.54mm,1,Midi CH,
SW2,Latching_DPDT,1,Latching_DPDT,
U1,DIP-8_W8.89mm_SMDSocket_LongPads,1,6N138,
U2,SO-14_3.9x8.65mm_P1.27mm,1,74LS14,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,NE5532,
