Designator,Mid X,Mid Y,Rotation,Layer
A1,151.76,-129.48,0.0,top
C1,155.75,-162.867677,90.0,top
C10,148.3,-59.8,180.0,top
C11,148.2,-49.6,180.0,top
C12,139.3,-81.0,0.0,top
C13,157.4,-54.597349,270.0,top
C14,129.2,-48.2,180.0,top
C15,129.455113,-62.0,180.0,top
C16,139.1,-91.8,0.0,top
C17,224.7,-100.9,180.0,top
C2,140.0,-59.0,180.0,top
C3,154.5,-60.777401,270.0,top
C4,154.5,-48.5,90.0,top
C5,140.0,-51.6,180.0,top
C7,151.75,-54.65,270.0,top
C8,137.75,-62.5,180.0,top
C9,137.25,-47.8,180.0,top
D1,231.1,-61.35,270.0,top
D10,147.425,-137.1,0.0,top
D11,147.425,-139.65,0.0,top
D12,140.5,-143.25,180.0,top
D13,140.45,-146.0,180.0,top
D14,140.45,-148.75,180.0,top
D15,154.2,-144.75,180.0,top
D2,141.48,-175.4,0.0,top
D3,144.27,-160.0,0.0,top
D4,147.425,-121.85,0.0,top
D5,147.425,-124.4,0.0,top
D6,147.425,-126.95,0.0,top
D7,147.425,-129.475,0.0,top
D8,147.425,-132.025,0.0,top
D9,147.425,-134.55,0.0,top
J1,239.25,-76.55,270.0,top
J10,134.55,-128.0,270.0,bottom
J11,140.5,-39.0,0.0,top
J12,218.35,-84.16,0.0,top
J13,134.5,-2.06,180.0,top
J14,154.25,-128.0,270.0,bottom
J15,133.73,-111.75,90.0,bottom
J16,131.8,-99.22,180.0,bottom
J17,129.857,5.685,0.0,bottom
J18,129.7,-58.28,0.0,bottom
J19,129.757,-168.315,0.0,bottom
J2,239.25,-99.0,270.0,top
J3,153.05,-176.4,90.0,top
J4,134.55,-101.79,0.0,bottom
J5,134.55,-55.79,0.0,bottom
J6,140.5,-70.0,0.0,top
J7,134.55,-165.79,0.0,bottom
J8,134.55,8.21,0.0,bottom
J9,134.55,-18.0,270.0,bottom
R1,235.5,-60.3,270.0,top
R10,139.69,-136.95,0.0,top
R11,139.69,-139.45,0.0,top
R12,224.7,-80.3,0.0,top
R13,150.0375,-104.0,0.0,top
R14,224.8375,-88.5,180.0,top
R15,150.0,-101.25,0.0,top
R16,150.0,-98.5,0.0,top
R17,150.0,-95.75,0.0,top
R18,147.2,-77.2,180.0,top
R19,147.2,-79.8,180.0,top
R2,219.3,-75.9,0.0,top
R20,139.5,-56.6,180.0,top
R21,139.4625,-54.2,180.0,top
R22,128.5,-69.6,270.0,top
R23,128.4,-39.0,270.0,top
R24,140.5,-160.0375,270.0,top
R25,147.8,-62.4,180.0,top
R26,148.2,-47.0,180.0,top
R27,142.4,-62.8,0.0,top
R28,142.0,-47.8,180.0,top
R29,133.4,-48.0,90.0,top
R3,224.7625,-75.9,0.0,top
R30,134.2,-62.5,270.0,top
R31,147.9625,-142.2,180.0,top
R32,147.9625,-144.75,0.0,top
R33,147.9875,-147.25,0.0,top
R34,153.8,-147.25,0.0,top
R35,154.0,-111.7125,270.0,top
R4,139.69,-121.95,0.0,top
R5,139.69,-124.45,0.0,top
R6,139.7275,-126.95,0.0,top
R7,139.69,-129.45,0.0,top
R8,139.69,-131.95,180.0,top
R9,139.69,-134.45,0.0,top
SW1,157.665,-99.99,180.0,top
SW2,144.1725,-167.8275,0.0,top
U1,222.3,-66.5,270.0,top
U2,221.9,-95.5,270.0,top
U3,147.4,-54.725,0.0,top
