Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,47n,
"C10, C11, C13",CP_Radial_D4.0mm_P1.50mm,3,1uF,
"C12, C14, C15, C16",0805,4,100n,
"C17, C7",CP_Radial_D8.0mm_P3.50mm,2,1000uF,
C2,CP_Radial_D8.0mm_P3.50mm,1,220uF,
C3,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,10n,
C4,CP_Radial_D4.0mm_P1.50mm,1,4u7,
C5,CP_Radial_D4.0mm_P1.50mm,1,2u2F,
"C6, C8",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,1n,
C9,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,220nF,
"D1, D3",D_MiniMELF,2,1N4148,
D2,LED_D3.0mm,1,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Trigger,
"J10, J11, J2, J9",Bus Connector,4,SMT Pads,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,AudioJack2,
J4,PinHeader_1x03_P2.54mm_Horizontal,1,Power In,
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Power Out,
J6,PinHeader_1x03_P2.54mm_Horizontal,1,Audio In,
J7,PinHeader_1x03_P2.54mm_Horizontal,1,Audio Out,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Remote Trig,
Q2,TO-92_Inline,1,2SC828,
"R1, R11, R2, R24, R32, R35, R4, R5, R7",1206,9,47k,
"R10, R16, R27, R28, R36, R8",1206,6,4k7,
"R12, R13, R19, R20, R33, R34, R37, R39",1206,8,1k,
R14,1206,1,470k,
R15,1206,1,680R,
"R17, R18, R22, R23",1206,4,22k,
"R21, R30",1206,2,15k,
R25,1206,1,150k,
R26,1206,1,220k,
R29,1206,1,10k,
R3,1206,1,330k,
"R31, R38",1206,2,100k,
"R40, R41, R42, R43",1206,4,68k,
"R6, R9",1206,2,2M2,
RV1,Potentiometer_Piher_PT-6-V_Vertical,1,Sensitivity 47k,
RV2,Potentiometer_Alps_RK09K_Single_Vertical,1,Decay 220k,
RV3,Potentiometer_Alps_RK09K_Single_Vertical,1,Bend 100k,
RV4,Potentiometer_Alps_RK09K_Single_Vertical,1,Noise Pitch 100k,
RV5,Potentiometer_Alps_RK09K_Single_Vertical,1,Tone Pitch 100k,
RV6,Potentiometer_Alps_RK09K_Single_Vertical,1,Mix 100k,
RV7,Potentiometer_Alps_RK09K_Single_Vertical,1,Vol 47k,
RV8,Potentiometer_Alps_RK09K_Single_Vertical,1,Pan 100k,
SW1,SW_PUSH_6mm_H5mm,1,Manual,
"TP1, TP2, TP3",TestPoint_THTPad_D1.5mm_Drill0.7mm,3,TestPoint,
U1,SO-14_3.9x8.65mm_P1.27mm,1,LM324,
"U3, U4, U6",SO-16_3.9x9.9mm_P1.27mm,3,LM13700,
"U5, U7",SOT-23-5,2,LM321,
