Designator,Mid X,Mid Y,Rotation,Layer
C1,155.0,-50.75,0.0,top
C10,175.25,-107.25,0.0,top
C11,170.2226,-117.77,180.0,top
C12,162.605,-68.115,0.0,top
C13,188.044888,-148.5,0.0,top
C14,170.75,-50.5,0.0,top
C15,184.36,-108.46,180.0,top
C16,139.4,-107.5,180.0,top
C17,182.75,-80.0,0.0,top
C2,182.5,-69.0,0.0,top
C3,137.105,-68.365,0.0,top
C4,172.25,-54.0,90.0,top
C5,154.25,-57.0,270.0,top
C6,152.605,-76.615,180.0,top
C7,155.85625,-110.3,0.0,top
C8,170.355,-80.615,0.0,top
C9,147.9375,-108.1,0.0,top
D1,166.0,-50.75,180.0,top
D2,180.1,-127.23,90.0,top
D3,154.25,-53.25,180.0,top
J1,180.1,-137.245,0.0,top
J10,194.45,-59.75,180.0,bottom
J11,134.5,-64.85,0.0,bottom
J2,194.443,-123.71,180.0,bottom
J3,190.5,-137.245,0.0,top
J4,139.275,-62.315,0.0,bottom
J5,189.725,-62.285,180.0,bottom
J6,139.3,-126.3,0.0,bottom
J7,189.7,-126.26,180.0,bottom
J8,176.25,-127.245,0.0,bottom
J9,134.557,-128.84,0.0,bottom
Q2,135.4,-73.87,270.0,top
R1,159.25,-58.25,180.0,top
R10,159.25,-60.75,180.0,top
R11,145.605,-70.865,0.0,top
R12,153.105,-73.615,180.0,top
R13,153.105,-70.865,180.0,top
R14,153.75,-84.25,0.0,top
R15,190.25,-68.0,0.0,top
R16,153.7875,-79.25,0.0,top
R17,160.855,-85.5,0.0,top
R18,160.855,-82.115,0.0,top
R19,169.605,-76.115,0.0,top
R2,159.2875,-53.25,180.0,top
R20,169.605,-73.365,0.0,top
R21,169.605,-70.865,180.0,top
R22,145.9625,-105.3,0.0,top
R23,169.6375,-68.4,0.0,top
R24,153.0,-102.75,270.0,top
R25,157.855,-68.115,0.0,top
R26,149.4375,-111.9,90.0,top
R27,153.75,-81.75,0.0,top
R28,153.3375,-116.7,90.0,top
R29,146.1375,-116.7,90.0,top
R3,140.605,-70.865,180.0,top
R30,180.1475,-108.46,180.0,top
R31,175.5375,-110.82,0.0,top
R32,146.1375,-111.9,90.0,top
R33,175.5,-113.72,180.0,top
R34,175.4375,-116.62,180.0,top
R35,175.4375,-119.22,180.0,top
R36,170.35,-113.57,180.0,top
R37,154.5,-145.5,0.0,top
R38,197.5,-141.6,90.0,top
R39,154.5375,-148.5,0.0,top
R4,172.25,-58.25,180.0,top
R40,154.5,-139.0,0.0,top
R41,154.5,-142.25,0.0,top
R42,154.5,-132.5,0.0,top
R43,154.5,-135.75,180.0,top
R5,172.2125,-60.75,0.0,top
R6,159.2875,-55.75,180.0,top
R7,145.5375,-79.0,0.0,top
R8,145.605,-75.865,0.0,top
R9,145.5675,-73.365,180.0,top
RV1,171.4,-148.6,180.0,top
RV2,144.5,-58.7,90.0,top
RV3,184.5,-58.7,90.0,top
RV4,184.5,-98.7,90.0,top
RV5,144.5,-98.7,90.0,top
RV6,164.5,-98.7,90.0,top
RV7,144.5,-138.7,90.0,top
RV8,164.5,-138.7,90.0,top
SW1,180.2,-148.5,0.0,top
U1,165.625,-56.93,0.0,top
U3,162.105,-75.115,0.0,top
U4,140.0375,-113.835,0.0,top
U5,149.9375,-116.2,180.0,top
U6,182.425,-115.075,0.0,top
U7,140.6375,-74.55,180.0,top
